condition,seed,budget_checkpoint,model_source_episodes,model_round,expected_return
fit_quarter,40,45875,45056,11,1.7593417013982235
fit_quarter,40,52428,49152,12,1.8208605790991728
fit_quarter,40,58982,57344,14,1.9044575462125959
fit_quarter,40,65536,65536,16,1.9548617163134239
fit_quarter,40,72089,69632,17,1.962617355485836
fit_quarter,40,78643,77824,19,1.9626655807374647
fit_quarter,40,85196,83968,20,1.9626655888515285
fit_quarter,40,91750,88064,21,1.9626655935949109
fit_quarter,40,98304,96256,23,1.962665596488188
fit_quarter,40,104857,100352,24,1.9626655971484512
fit_quarter,40,111411,110592,26,1.9626655975757659
fit_quarter,40,117964,114688,27,1.9626655978791245
fit_quarter,40,124518,118784,28,1.962665598138682
fit_quarter,40,131072,129024,30,1.9626655983357246
fit_quarter,41,0,0,0,0.38376000000000016
fit_quarter,41,6553,4096,1,0.5006471994239875
fit_quarter,41,13107,12288,3,0.7875565868681436
fit_quarter,41,19660,16384,4,0.9299765566419486
fit_quarter,41,26214,24576,6,1.2273379823125425
fit_quarter,41,32768,32768,8,1.5027593645739838
fit_quarter,41,39321,36864,9,1.6130983779945782
fit_quarter,41,45875,45056,11,1.777786401897974
fit_quarter,41,52428,49152,12,1.8370165846562638
fit_quarter,41,58982,53248,13,1.8819611554156255
fit_quarter,41,65536,63488,15,1.9163928996087998
fit_quarter,41,72089,71680,17,1.9616703631787533
fit_quarter,41,78643,77824,18,1.9616703631787533
fit_quarter,41,85196,81920,19,1.9626606965867162
fit_quarter,41,91750,90112,21,1.9626655859396216
fit_quarter,41,98304,96256,22,1.9626655859396216
fit_quarter,41,104857,104448,24,1.9626655948041434
fit_quarter,41,111411,108544,25,1.9626655960607247
fit_quarter,41,117964,114688,26,1.9626655960607247
fit_quarter,41,124518,120832,27,1.9626655965223854
fit_quarter,41,131072,131072,29,1.962665597125671
fit_quarter,42,0,0,0,0.38375999999999993
fit_quarter,42,6553,4096,1,0.4961965058867774
fit_quarter,42,13107,12288,3,0.7728210264389639
fit_quarter,42,19660,16384,4,0.9204662575818061
fit_quarter,42,26214,24576,6,1.2320768776825044
fit_quarter,42,32768,32768,8,1.49316713389628
fit_quarter,42,39321,36864,9,1.604213331322107
fit_quarter,42,45875,45056,11,1.7685767000789325
fit_quarter,42,52428,49152,12,1.8306186459771943
fit_quarter,42,58982,57344,14,1.9155364919839901
fit_quarter,42,65536,65536,16,1.958787762325942
fit_quarter,42,72089,71680,17,1.9626332337206056
fit_quarter,42,78643,75776,18,1.962665362661078
fit_quarter,42,85196,81920,19,1.962665362661078
fit_quarter,42,91750,88064,20,1.9626655713432062
fit_quarter,42,98304,94208,21,1.9626655713432062
fit_quarter,42,104857,104448,23,1.9626655921773888
fit_quarter,42,111411,110592,24,1.9626655921773888
fit_quarter,42,117964,114688,25,1.9626655948010783
fit_quarter,42,124518,118784,26,1.9626655961083832
fit_quarter,42,131072,131072,28,1.9626655969471378
