experiment,method,seed,variant,source_n,target_n,target_plus_type_probability,coverage_class,support_covered,density_ratio,neighbor_weight,semantic_drift,target_local_energy,target_path_derivative,target_normalized_path_derivative,old_return,return,return_gain,source_steps_total,source_steps_training,source_steps_direction_check,source_steps_return_check,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,direction_check_score,direction_check_mode,return_check_gain,return_check_mode,return_check_standard_error,target_true_coefficient_0,target_true_coefficient_1,frozen_actor_p_0,frozen_actor_p_1,source_direction_error,source_realization_residual,target_direction_error,transport_error_upper_bound,normalized_derivative_lower_bound,bound_object,direction_status
P-T,SA,45,normalized,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.290626205593028,0.072656551398257,0.28159999999999996,0.312034193156637,0.030434193156637035,3584,2048,512,1024,True,accepted_empirical,0.1,1,7.1897291179570735e-09,-0.07622374089096326,100,5.0,0.09660551486389435,empirical,0.023307291666666674,empirical,0.024018011453683596,0.059999999999999803,0.3599999999999998,0.3022838610483755,0.7162998249428463,0.0005491841141468861,1.4996109964388205e-06,0.0006080052035537058,0.0006080792837395851,0.06016763062482784,specified_source_logit_path_through_finite_candidate,
P-T,SA,45,normalized,4,6,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.435939308389542,0.072656551398257,0.42239999999999994,0.4680512897349555,0.04565128973495558,3584,2048,512,1024,True,accepted_empirical,0.1,1,7.1897291179570735e-09,-0.07622374089096326,100,5.0,0.09660551486389435,empirical,0.023307291666666674,empirical,0.024018011453683596,0.059999999999999803,0.3599999999999998,0.3022838610483755,0.7162998249428463,0.0005491841141468861,1.4996109964388205e-06,0.0006080052035537058,0.0006080792837395851,0.06016763062482784,specified_source_logit_path_through_finite_candidate,
P-T,SA,45,fixed-edge,4,2,0.6,A_finite_supported,True,1.0,0.6666666666666666,0.00955733333333331,0.033077333333333334,0.09901622864440389,0.049508114322201945,0.13226666666666667,0.1423113643293236,0.01004469766265692,3584,2048,512,1024,True,accepted_empirical,0.1,1,7.1897291179570735e-09,-0.07622374089096326,100,5.0,0.09660551486389435,empirical,0.023307291666666674,empirical,0.024018011453683596,-0.04666666666666674,0.2533333333333333,0.3022838610483755,0.7162998249428463,0.0005491841141468861,1.4996109964388205e-06,0.013454212688997196,0.014986871486665701,0.010812433967105104,specified_source_logit_path_through_finite_candidate,
P-T,SA,45,fixed-edge,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.290626205593028,0.072656551398257,0.28159999999999996,0.312034193156637,0.030434193156637035,3584,2048,512,1024,True,accepted_empirical,0.1,1,7.1897291179570735e-09,-0.07622374089096326,100,5.0,0.09660551486389435,empirical,0.023307291666666674,empirical,0.024018011453683596,0.059999999999999803,0.3599999999999998,0.3022838610483755,0.7162998249428463,0.0005491841141468861,1.4996109964388205e-06,0.0006080052035537058,0.0006080792837395851,0.06016763062482784,specified_source_logit_path_through_finite_candidate,
P-T,SA,45,fixed-edge,4,6,0.6,A_finite_supported,True,1.0,3.333333333333333,0.009557333333333307,0.11909333333333315,0.5748299308458722,0.09580498847431204,0.44799999999999984,0.5091684864819402,0.0611684864819404,3584,2048,512,1024,True,accepted_empirical,0.1,1,7.1897291179570735e-09,-0.07622374089096326,100,5.0,0.09660551486389435,empirical,0.023307291666666674,empirical,0.024018011453683596,0.16666666666666632,0.46666666666666634,0.3022838610483755,0.7162998249428463,0.0005491841141468861,1.4996109964388205e-06,0.006876464384776829,0.014986871486665694,0.07684600819214457,specified_source_logit_path_through_finite_candidate,
P-T,SA,45,composition,4,2,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,-0.0036186251659415143,-0.0018093125829707572,0.1248,0.12491610743420449,0.00011610743420449599,3584,2048,512,1024,True,accepted_empirical,0.1,1,7.1897291179570735e-09,-0.07622374089096326,100,5.0,0.09660551486389435,empirical,0.023307291666666674,empirical,0.024018011453683596,-0.26,0.03999999999999998,0.3022838610483755,0.7162998249428463,0.0005491841141468861,1.4996109964388205e-06,0.09197972990341491,0.10464328999508712,-0.025570858248972907,specified_source_logit_path_through_finite_candidate,
P-T,SA,45,composition,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.290626205593028,0.072656551398257,0.28159999999999996,0.312034193156637,0.030434193156637035,3584,2048,512,1024,True,accepted_empirical,0.1,1,7.1897291179570735e-09,-0.07622374089096326,100,5.0,0.09660551486389435,empirical,0.023307291666666674,empirical,0.024018011453683596,0.059999999999999803,0.3599999999999998,0.3022838610483755,0.7162998249428463,0.0005491841141468861,1.4996109964388205e-06,0.0006080052035537058,0.0006080792837395851,0.06016763062482784,specified_source_logit_path_through_finite_candidate,
P-T,SA,45,composition,4,6,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,-0.010855875497824543,-0.0018093125829707572,0.3744,0.3747483223026135,0.00034832230261350183,3584,2048,512,1024,True,accepted_empirical,0.1,1,7.1897291179570735e-09,-0.07622374089096326,100,5.0,0.09660551486389435,empirical,0.023307291666666674,empirical,0.024018011453683596,-0.26,0.03999999999999998,0.3022838610483755,0.7162998249428463,0.0005491841141468861,1.4996109964388205e-06,0.09197972990341491,0.10464328999508712,-0.025570858248972907,specified_source_logit_path_through_finite_candidate,
P-T,DA,45,normalized,4,2,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.45245251239151946,0.22622625619575973,0.14079999999999998,0.20506498147549296,0.06426498147549298,3072,2048,0,1024,True,accepted_empirical,0.1,1,,,,,,,0.19166666666666668,empirical,0.04871870179676286,0.059999999999999803,0.3599999999999998,0.36092658429212726,0.7438362393451207,,,,,,,not_applicable
P-T,DA,45,normalized,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.9049050247830389,0.22622625619575973,0.28159999999999996,0.4101299629509859,0.12852996295098595,3072,2048,0,1024,True,accepted_empirical,0.1,1,,,,,,,0.19166666666666668,empirical,0.04871870179676286,0.059999999999999803,0.3599999999999998,0.36092658429212726,0.7438362393451207,,,,,,,not_applicable
P-T,DA,45,normalized,4,6,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,1.3573575371745583,0.22622625619575973,0.42239999999999994,0.6151949444264788,0.19279494442647888,3072,2048,0,1024,True,accepted_empirical,0.1,1,,,,,,,0.19166666666666668,empirical,0.04871870179676286,0.059999999999999803,0.3599999999999998,0.36092658429212726,0.7438362393451207,,,,,,,not_applicable
P-T,DA,45,fixed-edge,4,2,0.6,A_finite_supported,True,1.0,0.6666666666666666,0.00955733333333331,0.033077333333333334,0.23597451884875123,0.11798725942437562,0.13226666666666667,0.16121708809110935,0.02895042142444268,3072,2048,0,1024,True,accepted_empirical,0.1,1,,,,,,,0.19166666666666668,empirical,0.04871870179676286,-0.04666666666666674,0.2533333333333333,0.36092658429212726,0.7438362393451207,,,,,,,not_applicable
P-T,DA,45,fixed-edge,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.9049050247830389,0.22622625619575973,0.28159999999999996,0.4101299629509859,0.12852996295098595,3072,2048,0,1024,True,accepted_empirical,0.1,1,,,,,,,0.19166666666666668,empirical,0.04871870179676286,0.059999999999999803,0.3599999999999998,0.36092658429212726,0.7438362393451207,,,,,,,not_applicable
P-T,DA,45,fixed-edge,4,6,0.6,A_finite_supported,True,1.0,3.333333333333333,0.009557333333333307,0.11909333333333315,2.0067915178028626,0.3344652529671438,0.44799999999999984,0.7467386245796296,0.29873862457962974,3072,2048,0,1024,True,accepted_empirical,0.1,1,,,,,,,0.19166666666666668,empirical,0.04871870179676286,0.16666666666666632,0.46666666666666634,0.36092658429212726,0.7438362393451207,,,,,,,not_applicable
P-T,DA,45,composition,4,2,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,-0.3322148291355911,-0.16610741456779554,0.1248,0.11299354177879754,-0.011806458221202451,3072,2048,0,1024,True,accepted_empirical,0.1,1,,,,,,,0.19166666666666668,empirical,0.04871870179676286,-0.26,0.03999999999999998,0.36092658429212726,0.7438362393451207,,,,,,,not_applicable
P-T,DA,45,composition,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.9049050247830389,0.22622625619575973,0.28159999999999996,0.4101299629509859,0.12852996295098595,3072,2048,0,1024,True,accepted_empirical,0.1,1,,,,,,,0.19166666666666668,empirical,0.04871870179676286,0.059999999999999803,0.3599999999999998,0.36092658429212726,0.7438362393451207,,,,,,,not_applicable
P-T,DA,45,composition,4,6,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,-0.9966444874067732,-0.16610741456779554,0.3744,0.3389806253363926,-0.035419374663607395,3072,2048,0,1024,True,accepted_empirical,0.1,1,,,,,,,0.19166666666666668,empirical,0.04871870179676286,-0.26,0.03999999999999998,0.36092658429212726,0.7438362393451207,,,,,,,not_applicable
